,funding_total_usd,status,state_code,region,funding_rounds,first_funding_at,last_funding_at,label,avg_time_between_rounds,avg_raised_amount_usd,industry,num_of_investors
1245,8870000.0,operating,MO,St. Louis,6,2011-04-01,2015-07-28,1,315.0,1478333.3333333333,Biotechnology,11.0
1247,16000000.0,operating,CA,SF Bay Area,4,2013-09-01,2014-12-10,1,155.0,4000000.0,Mobile,17.0
1250,12294999.0,operating,CA,SF Bay Area,4,2011-02-09,2015-05-13,1,518.0,3073749.75,Enterprise_Software,2.0
1251,28703843.0,operating,MA,Boston,5,2009-07-13,2013-09-10,1,380.0,5740768.6,Education,4.0
1252,11699999.0,operating,CA,Anaheim,3,2012-08-20,2015-10-27,1,581.0,3899999.6666666665,SaaS,15.0
1254,3450000.0,operating,NJ,Newark,4,2010-07-01,2015-09-03,1,630.0,862500.0,Mobile,2.0
1255,4200000.0,operating,OH,Cincinnati,3,2011-11-08,2015-08-31,1,696.0,2100000.0,Curated_Web,10.0
1256,5938758.0,operating,TN,Nashville,6,2011-04-05,2013-11-01,1,188.0,989793.0,Enterprise_Software,8.0
1257,23649999.0,operating,MN,Minneapolis,3,2012-12-06,2015-09-24,1,511.0,7883333.0,Software,3.0
1258,1360010.0,operating,MA,Boston,3,2014-09-11,2015-07-27,1,159.0,453336.6666666667,0_other_cat,2.0
1259,3535026.0,operating,CO,Denver,3,2013-01-14,2014-08-04,1,283.0,1178342.0,Analytics,3.0
1262,70200004.0,operating,MA,Boston,3,2010-08-25,2014-04-15,1,664.0,23400001.333333332,Finance,7.0
1263,14828807.0,operating,DC,"Washington, D.C.",5,2011-10-26,2015-11-16,1,370.0,3707201.75,SaaS,18.0
1264,5349905.0,operating,AZ,Phoenix,3,2013-07-24,2015-02-26,1,291.0,1783301.6666666667,Software,2.0
1266,5500000.0,operating,CA,SF Bay Area,3,2013-12-16,2014-09-24,1,141.0,2750000.0,E-Commerce,10.0
1268,12325014.0,operating,NY,New York City,5,2011-07-18,2014-01-15,1,228.0,3081253.5,SaaS,16.0
1270,44300000.0,operating,WA,Seattle,5,2012-06-28,2014-09-25,1,204.0,8860000.0,Analytics,17.0
1271,16492907.0,operating,CT,Hartford,5,2010-03-03,2014-08-26,1,409.0,3298581.4,Software,8.0
1272,34000000.0,operating,TX,Austin,5,2012-08-14,2015-07-22,1,268.0,6800000.0,Analytics,4.0
1273,39200000.0,operating,CA,Ontario - Inland Empire,3,2009-08-28,2011-10-06,1,384.0,13066666.666666666,Clean_Technology,10.0
1274,1900000.0,operating,CA,SF Bay Area,3,2014-05-16,2014-12-04,1,101.0,633333.3333333334,Internet,7.0
1275,48793158.0,operating,NY,New York City,4,2010-08-23,2015-06-25,1,589.0,12198289.5,Biotechnology,2.0
1276,74328566.0,operating,MN,Minneapolis,5,2013-03-04,2015-11-13,1,246.0,14865713.2,Biotechnology,10.0
1277,30724998.0,operating,CO,Denver,3,2013-01-29,2015-03-27,1,393.0,10241666.0,Enterprise_Software,6.0
1278,32035151.0,operating,MA,Boston,5,2011-09-16,2015-03-31,1,323.0,6407030.2,Biotechnology,3.0
1280,23961622.0,operating,NY,New York City,6,2011-05-24,2015-10-19,1,321.0,3993603.6666666665,Software,11.0
1282,1500000.0,operating,UT,Salt Lake City,3,2013-03-13,2014-11-10,1,303.0,1500000.0,Security,4.0
1283,58641287.0,operating,TX,Dallas,4,2007-07-30,2013-05-21,1,707.0,14660321.75,Hardware_+_Software,14.0
1285,69000000.0,operating,CA,SF Bay Area,5,2007-04-10,2014-03-10,1,631.0,13800000.0,Video,15.0
1286,6309000.0,operating,CA,SF Bay Area,4,2007-08-01,2013-09-16,1,746.0,2103000.0,SaaS,4.0
1288,8890000.0,operating,MA,Boston,7,2012-04-12,2015-03-16,1,178.0,1270000.0,0_other_cat,5.0
1289,22750000.0,operating,CA,SF Bay Area,3,2007-05-09,2008-02-20,1,143.0,7583333.333333333,Clean_Technology,1.0
1291,11250000.0,operating,CA,SF Bay Area,4,2007-08-06,2011-05-26,1,463.0,2812500.0,Health_Care,4.0
1292,2190511.0,operating,FL,Ft. Lauderdale,3,2013-06-19,2015-07-10,1,375.0,1095255.5,Education,8.0
1296,41784600.0,operating,MA,Boston,5,2011-04-11,2015-06-18,1,382.0,8356920.0,0_other_cat,4.0
1297,322500.0,operating,WA,Seattle,3,2011-12-28,2012-12-01,1,169.0,161250.0,Health_and_Wellness,1.0
1299,20000000.0,operating,CA,SF Bay Area,4,2013-03-01,2015-04-06,1,255.0,10000000.0,Web_Hosting,11.0
1303,19179100.0,operating,NJ,Newark,4,2008-12-15,2014-03-07,1,636.0,4794775.0,Biotechnology,1.0
1304,10885000.0,operating,MA,Boston,4,2005-04-06,2011-01-07,1,700.0,2721250.0,Biotechnology,2.0
1306,27620904.0,operating,MD,Baltimore,4,2008-10-23,2013-01-31,1,520.0,6905226.0,Biotechnology,16.0
1307,60699922.0,operating,FL,Palm Beaches,4,2008-04-29,2015-04-13,1,846.0,20233307.333333332,Finance,5.0
1309,37900000.0,operating,NY,New York City,4,2007-01-01,2014-03-10,1,875.0,9475000.0,Advertising,7.0
1310,14382422.0,operating,CA,SF Bay Area,3,2012-10-01,2014-12-15,1,402.0,4794140.666666667,Health_Care,3.0
1313,103795000.0,operating,CA,SF Bay Area,6,2010-03-16,2014-05-08,1,302.0,17299166.666666668,Technology,7.0
1314,1369963.0,operating,MA,Boston,3,2013-02-25,2015-08-11,1,448.0,456654.3333333333,0_other_cat,1.0
1315,34272598.0,operating,MA,Boston,5,2010-01-01,2015-07-01,1,501.0,11424199.333333334,Biotechnology,8.0
1316,76336992.0,operating,TN,Nashville,14,2009-03-27,2014-01-16,1,135.0,5452642.285714285,Biotechnology,3.0
1318,34010000.0,operating,TX,Austin,3,2005-01-11,2007-09-07,1,484.0,11336666.666666666,Security,12.0
1319,9868996.0,operating,OR,"Portland, Oregon",3,2012-10-04,2015-08-21,1,525.0,3289665.3333333335,Finance,12.0
1320,11658743.0,operating,CA,SF Bay Area,4,2005-02-15,2011-06-03,1,766.0,3886247.6666666665,Software,1.0
1321,46500000.0,operating,CA,SF Bay Area,3,2003-06-23,2005-12-27,1,459.0,15500000.0,Hardware_+_Software,15.0
1322,65628255.0,operating,ID,Boise,5,2009-07-27,2015-04-13,1,521.0,13125651.0,Hardware_+_Software,6.0
1325,1500000.0,operating,NY,New York City,5,2011-11-09,2015-03-01,1,302.0,500000.0,Internet,2.0
1326,29500000.0,operating,CA,SF Bay Area,3,2012-10-09,2013-11-14,1,200.0,9833333.333333334,Education,8.0
1327,14301880.0,operating,CA,SF Bay Area,4,2014-02-28,2015-10-07,1,195.0,3575470.0,Finance,18.0
1328,90000.0,operating,CA,SF Bay Area,3,2012-02-09,2013-05-01,1,223.0,45000.0,Software,4.0
1329,35350000.0,operating,CA,SF Bay Area,4,2010-04-29,2015-05-12,1,613.0,8837500.0,Finance,16.0
1331,20885000.0,operating,CA,SF Bay Area,4,2005-01-01,2012-10-01,1,943.0,5221250.0,Software,7.0
1332,11158362.0,operating,MA,Boston,5,2009-09-09,2012-09-28,1,278.0,2789590.5,Analytics,3.0
1333,16020000.0,operating,NY,New York City,3,2006-09-01,2011-04-28,1,850.0,5340000.0,Advertising,4.0
1334,6200000.0,operating,NY,New York City,3,2004-01-01,2006-01-01,1,365.0,3100000.0,Video,6.0
1337,48720000.0,operating,CA,SF Bay Area,5,2011-03-29,2014-05-04,1,283.0,9744000.0,Mobile,19.0
1338,5400000.0,operating,CA,SF Bay Area,6,2012-09-01,2014-07-17,1,136.0,1080000.0,Mobile,17.0
1339,10500000.0,operating,CA,Los Angeles,3,2007-12-01,2011-01-06,1,566.0,3500000.0,Curated_Web,3.0
1341,1435000.0,operating,OR,"Portland, Oregon",3,2013-01-01,2015-06-02,1,441.0,717500.0,E-Commerce,4.0
1342,1700000.0,operating,MA,Boston,3,2013-12-03,2015-11-06,1,351.0,850000.0,0_other_cat,1.0
1343,22300000.0,operating,NY,New York City,3,2011-01-01,2014-04-28,1,606.0,7433333.333333333,Software,10.0
1344,5900000.0,operating,CA,Los Angeles,4,2012-05-24,2014-10-07,1,216.0,1342880.2,Finance,17.0
1346,2250463.0,operating,MA,Boston,6,2010-03-03,2015-06-16,1,386.0,450092.6,Finance,11.0
1347,10028500.0,operating,CA,SF Bay Area,11,2010-07-26,2015-08-13,1,184.0,1002850.0,Analytics,6.0
1348,150000.0,operating,NY,New York City,3,2012-11-30,2014-02-28,1,227.0,150000.0,Software,3.0
1349,24600000.0,operating,MI,Detroit,3,2011-01-01,2014-04-22,1,603.0,12300000.0,Curated_Web,8.0
1350,49000000.0,operating,CA,SF Bay Area,4,2011-05-23,2013-06-02,1,247.0,12250000.0,Mobile,12.0
1351,15000000.0,operating,NY,New York City,3,2009-08-01,2014-03-20,1,846.0,5000000.0,Advertising,10.0
1352,71000.0,operating,NC,Raleigh,4,2013-05-15,2014-06-05,1,128.0,17750.0,Mobile,3.0
1353,16176000.0,operating,NY,New York City,6,2010-09-16,2014-06-26,1,275.0,3235200.0,Finance,10.0
1356,82950000.0,operating,CA,SF Bay Area,5,2008-01-01,2014-05-23,1,583.0,20737500.0,Biotechnology,12.0
1357,12000000.0,operating,CA,Los Angeles,3,2006-03-29,2010-09-22,1,819.0,4000000.0,SaaS,7.0
1358,1740000.0,operating,CA,SF Bay Area,4,2010-09-09,2011-04-01,1,68.0,870000.0,0_other_cat,7.0
